,TYPE,WDPAID,WDPA_PID,NAME,REP_M_AREA,STATUS_YR,PARENT_ISO3
2869,Polygon,5439,5439,Naturschutzgebiet Valsertal,0.0,2001,AUT
2870,Polygon,5441,5441,Naturschutzgebiet Antelsberg Bei Tarrenz,0.0,2002,AUT
2871,Polygon,5456,5456,Augebiet Schwöbing,0.0,2001,AUT
2873,Polygon,4343,4343,Naturschutzgebiet Kaisergebirge,0.0,2013,AUT
2897,Polygon,5615,5615,Viroin,0.0,2004,BEL
2898,Polygon,7180,7180,Vague Des Gomhets,0.0,2005,BEL
2899,Polygon,1221,1221,Hautes Fagnes,0.0,2000,BEL
2901,Polygon,5611,5611,Claire- Fontaine,0.0,2000,BEL
2982,Polygon,3380,3380,Larnaca Saltwater Lake,0.0,2001,CYP
2983,Polygon,3381,3381,Limassol Lake (Akrotiri),0.0,2003,CYP
2985,Polygon,14465,14465,Krägen-Riss,0.0,2004,DEU
2986,Polygon,14524,14524,Schwarzwassertal,0.0,2003,DEU
2988,Polygon,14399,14399,Rietzer See,0.0,2004,DEU
2992,Polygon,7109,7109,"Nsg Bienener Altrhein, Millinger Meer Und Hurler Meer",0.0,2006,DEU
2993,Polygon,14326,14326,Göldenitzer Moor,0.0,2008,DEU
2995,Polygon,14525,14525,Mothäuser Heide,0.0,2003,DEU
2998,Polygon,14518,14518,Döbener Wald,0.0,2004,DEU
3001,Polygon,6973,6973,Heidenhäuschen,0.0,2012,DEU
3002,Polygon,14423,14423,Spannteich Knappenrode,0.0,2005,DEU
3010,Polygon,14457,14457,Teufelsmauer Und Bode Nordöstlich Thale,0.0,2012,DEU
3013,Polygon,14408,14408,Pinnower See,0.0,2002,DEU
